city,county,year,minimum_wage_year_start,minimum_wage_annual_avg,ordinance_type,minimum_wage_backfilled,minimum_wage_source_detail
San Leandro,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
San Leandro,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alameda,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Union City,Alameda,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Union City,Alameda,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Union City,Alameda,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Union City,Alameda,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Union City,Alameda,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Union City,Alameda,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Union City,Alameda,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Union City,Alameda,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Union City,Alameda,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alpine,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alpine,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alpine,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Alpine,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Alpine,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Amador City,Amador,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Amador City,Amador,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Amador City,Amador,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Amador City,Amador,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Amador City,Amador,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Amador City,Amador,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Amador City,Amador,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Amador City,Amador,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Amador City,Amador,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Ione,Amador,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Ione,Amador,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Ione,Amador,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Ione,Amador,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Ione,Amador,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Ione,Amador,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Ione,Amador,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Ione,Amador,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Ione,Amador,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Jackson,Amador,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Jackson,Amador,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Jackson,Amador,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Jackson,Amador,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Jackson,Amador,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Jackson,Amador,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Jackson,Amador,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Jackson,Amador,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Jackson,Amador,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Plymouth,Amador,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Plymouth,Amador,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Plymouth,Amador,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Plymouth,Amador,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Plymouth,Amador,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Sutter Creek,Amador,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Sutter Creek,Amador,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Sutter Creek,Amador,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Sutter Creek,Amador,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Sutter Creek,Amador,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Amador,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Amador,2014,8.0,8.504109589041096,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Amador,2015,9.0,9.0,State Law,True,state_law_backfill_pre_input_years
Unincorporated / Other,Amador,2016,10.0,10.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2017,10.5,10.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2018,11.0,11.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2019,12.0,12.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2020,13.0,13.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2021,14.0,14.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2022,15.0,15.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2023,15.5,15.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2024,16.0,16.0,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2025,16.5,16.5,State Law,False,input_minimum_wage_updated
Unincorporated / Other,Amador,2026,16.9,16.9,State Law,False,input_minimum_wage_updated
Biggs,Butte,2012,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
Biggs,Butte,2013,8.0,8.0,State Law,True,state_law_backfill_pre_input_years
