zcta5,year,amenity_source_rows,amenity_type_count,amenity_est_total,amenity_employee_bucket_total,amenity_est_bucket_gap,amenities_observed,amenity_est_coffee_shops,amenity_est_fitness,amenity_est_parks,amenity_est_restaurants,amenity_emp_1000_plus,amenity_emp_100_249,amenity_emp_10_19,amenity_emp_1_4,amenity_emp_20_49,amenity_emp_250_499,amenity_emp_500_999,amenity_emp_50_99,amenity_emp_5_9,amenities_population_for_rate,amenity_per_10k_total,amenity_per_10k_bucket_gap,amenity_per_10k_coffee_shops,amenity_per_10k_fitness,amenity_per_10k_parks,amenity_per_10k_restaurants
90006,2013,2,2,85,85,0,True,9,0,0,76,0,0,13,34,12,0,0,2,24,59498.0,14.28619449393257,0.0,1.5126558875928602,0.0,0.0,12.77353860633971
90006,2014,2,2,86,86,0,True,10,0,0,76,0,0,13,33,13,0,0,2,25,61419.0,14.002181735293638,0.0,1.6281606668946094,0.0,0.0,12.37402106839903
90006,2015,2,2,94,94,0,True,14,0,0,80,0,0,16,41,14,0,0,2,21,61625.0,15.253549695740366,0.0,2.2718052738336714,0.0,0.0,12.981744421906694
90006,2016,3,3,100,100,0,True,16,1,0,83,0,0,14,50,12,0,0,3,21,61230.0,16.331863465621428,0.0,2.6130981544994287,0.1633186346562143,0.0,13.555446676465785
90006,2017,2,2,102,97,5,True,16,0,0,86,0,0,16,47,9,0,0,3,22,62329.0,16.364774021723434,0.8021948049864429,2.5670233759566177,0.0,0.0,13.797750645766818
90006,2018,2,2,106,104,2,True,18,0,0,88,0,0,18,46,11,0,0,4,25,61698.0,17.180459658335764,0.32415961619501443,2.91743654575513,0.0,0.0,14.263023112580635
90006,2019,2,2,107,105,2,True,20,0,0,87,0,0,22,44,10,0,0,4,25,59576.0,17.960252450651268,0.33570565328320123,3.3570565328320128,0.0,0.0,14.603195917819257
90006,2020,2,2,100,99,1,True,18,0,0,82,0,0,17,37,14,0,0,4,27,58560.0,17.076502732240435,0.17076502732240437,3.073770491803279,0.0,0.0,14.00273224043716
90006,2021,2,2,98,96,2,True,20,0,0,78,0,0,22,45,10,0,0,0,19,57136.0,17.15205824698964,0.3500420050406049,3.5004200504060488,0.0,0.0,13.651638196583589
90006,2022,2,2,101,99,2,True,23,0,0,78,0,0,21,45,14,0,0,5,14,56628.0,17.835699653881473,0.3531821713639895,4.06159497068588,0.0,0.0,13.774104683195592
