model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ridge_linear_regression,numeric__education_less_than_high_school_share,-0.022414758264858392,0.022414758264858392,education_less_than_high_school_share,demographics
ridge_linear_regression,numeric__annual_avg_sale_to_list,0.02128315633672173,0.02128315633672173,annual_avg_sale_to_list,listings
ridge_linear_regression,numeric__education_some_college_or_associates_share,0.020318367667641724,0.020318367667641724,education_some_college_or_associates_share,demographics
ridge_linear_regression,numeric__age_45_64_share,0.02028873987183033,0.02028873987183033,age_45_64_share,demographics
ridge_linear_regression,numeric__minimum_wage_for_model_annual_avg,0.020244256240403047,0.020244256240403047,minimum_wage_for_model_annual_avg,minimum_wage
ridge_linear_regression,"categorical__parent_metro_region_Salinas, CA",0.01932207669062791,0.01932207669062791,parent_metro_region,listings
ridge_linear_regression,numeric__foreign_born_noncitizen_share_of_foreign_born,-0.01876000778793241,0.01876000778793241,foreign_born_noncitizen_share_of_foreign_born,demographics
ridge_linear_regression,numeric__race_some_other_race_alone_share,0.017247753746232775,0.017247753746232775,race_some_other_race_alone_share,demographics
ridge_linear_regression,numeric__age_35_44_share,0.016656616217460396,0.016656616217460396,age_35_44_share,demographics
ridge_linear_regression,numeric__annual_inventory_mean,0.015580692523826656,0.015580692523826656,annual_inventory_mean,listings
ridge_linear_regression,boolean__full_year_coverage_True,0.013764957581315684,0.013764957581315684,full_year_coverage,listings
ridge_linear_regression,numeric__age_25_34_share,-0.013410189841806641,0.013410189841806641,age_25_34_share,demographics
ridge_linear_regression,categorical__zcta_county_assignment_quality_single_county,-0.011560450162505731,0.011560450162505731,zcta_county_assignment_quality,minimum_wage
ridge_linear_regression,"categorical__parent_metro_region_Oxnard, CA",-0.011480204938038696,0.011480204938038696,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_San Jose, CA",0.010245391456692232,0.010245391456692232,parent_metro_region,listings
ridge_linear_regression,numeric__amenity_type_count,0.008545301274352823,0.008545301274352823,amenity_type_count,amenities
ridge_linear_regression,numeric__race_black_alone_share,0.007886539580795215,0.007886539580795215,race_black_alone_share,demographics
