feature,feature_kind,source_group,missing_rate,n_unique,selected,exclusion_reason,preprocessing_kind
avg_pct_met_math_pct_assessment_year,numeric,school_quality,0.1177933860111208,9216,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
avg_pct_met_math_z_assessment_year,numeric,school_quality,0.1177933860111208,9979,False,highly_collinear_with_avg_pct_met_overall_z_assessment_year,numeric
avg_pct_met_overall,numeric,school_quality,0.1145010242903131,4365,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
avg_pct_met_overall_pct_assessment_year,numeric,school_quality,0.1145010242903131,9483,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
is_caaspp,categorical,school_quality,0.1145010242903131,2,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,boolean
is_cst,categorical,school_quality,0.1145010242903131,2,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,boolean
max_pct_met_overall,numeric,school_quality,0.1145010242903131,4507,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
median_pct_met_overall,numeric,school_quality,0.1145010242903131,4269,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
median_pct_met_overall_pct_assessment_year,numeric,school_quality,0.1145010242903131,8889,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
median_pct_met_overall_z_assessment_year,numeric,school_quality,0.1145010242903131,9058,False,highly_collinear_with_avg_pct_met_overall_z_assessment_year,numeric
min_pct_met_overall,numeric,school_quality,0.1145010242903131,4805,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
n_schools,numeric,school_quality,0.1145010242903131,34,False,raw_duplicate_of_log1p_n_schools,numeric
school_quality_extended_eligible,categorical,school_quality,0.1145010242903131,1,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,boolean
total_students_tested_reported_positive,categorical,school_quality,0.1145010242903131,2,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,boolean
year,numeric,time,0.0,12,False,time_trend_feature_kept_only_as_split_metadata,numeric
